gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
SHISAL2A,3.732948516,-0.467420692,0.534007199,-0.875307847,0.381406426,0.999673974
ZYG11B,1.060561813,-1.147162248,0.944747947,-1.214252174,0.224651443,0.999673974
ECHDC2,4.481738469,0.039792942,0.409705432,0.097125736,0.922626543,0.999673974
SCP2,18.02165788,-0.011560352,0.242010252,-0.047768026,0.961901119,0.999673974
PODN,0.266389237,-0.05110974,1.902388338,-0.026866092,0.978566538,0.999673974
SLC1A7,1.935496567,2.681253036,0.887643997,3.020640081,0.00252241,0.295842659
CPT2,1.154396226,1.232847564,0.837843814,1.471452725,0.141168723,0.999673974
CZIB,5.994613975,-0.04772369,0.33961739,-0.140521927,0.888247629,0.999673974
MAGOH,14.91518053,0.18659345,0.227319288,0.820843013,0.411735695,0.999673974
LRP8,0.718981196,-1.21913228,0.970793736,-1.255809793,0.20918494,0.999673974
NDC1,0.768550682,-0.880535052,0.904836788,-0.97314241,0.330482529,0.999673974
YIPF1,2.254641454,-0.365020784,0.575753126,-0.633988367,0.526088414,0.999673974
HSPB11,11.68503392,-0.272362032,0.266467805,-1.022119844,0.306724182,0.999673974
LRRC42,1.769050966,0.285285536,0.667958967,0.427100392,0.669306208,0.999673974
TMEM59,30.39700461,0.114932958,0.166465649,0.690430482,0.489923513,0.999673974
TCEANC2,0.970305849,-0.020212051,0.781446081,-0.025864934,0.97936507,0.999673974
MRPL37,4.746758032,-0.589677258,0.38971768,-1.513088289,0.130257234,0.999673974
SSBP3,12.78688095,0.780138877,0.291234251,2.678733264,0.007390124,0.50886962
TTC4,1.775015197,-1.428979617,0.650146783,-2.197933844,0.027953821,0.915009106
TTC22,1.109585174,1.279926257,0.795557289,1.608842349,0.107650818,0.999673974
LEXM,0.33318626,1.341217814,1.516473248,0.884432229,0.376462932,0.999673974
DHCR24,0.504291738,-0.230116834,1.234897723,-0.186344852,0.852174336,0.999673974
USP24,7.222078015,0.123847453,0.346546623,0.35737602,0.720810326,0.999673974
MIR4422HG,0.272065538,-0.723019081,2.002069033,-0.361135939,0.717997828,0.999673974
OMA1,1.832277664,-0.177181668,0.650030398,-0.272574434,0.785180367,0.999673974
MYSM1,4.133402732,-0.520307783,0.46488368,-1.119221444,0.263045679,0.999673974
JUN,4.54592582,-0.610280462,0.610250925,-1.000048401,0.317287085,0.999673974
FGGY,0.555011356,-0.82079761,1.056245135,-0.777090074,0.43710563,0.999673974
NFIA,1.219530348,0.946875194,0.88762948,1.066745997,0.286086551,0.999673974
TM2D1,6.279500213,0.207286261,0.388699017,0.533282184,0.593838259,0.999673974
PATJ,1.215942376,-1.704124411,1.000013345,-1.70410167,0.088362095,0.999673974
USP1,5.345523731,-0.298661477,0.386078619,-0.773576836,0.439181075,0.999673974
DOCK7,1.022797987,0.104043375,1.005424261,0.103482061,0.917580386,0.999673974
ATG4C,2.250785444,-1.230310198,0.653875553,-1.88156629,0.059894927,0.999673974
ALG6,1.474545521,0.716427806,0.677900911,1.056832635,0.290587977,0.999673974
ITGB3BP,2.444310073,-1.49162064,0.63004707,-2.367474925,0.017909934,0.770964955
EFCAB7,0.730570373,-0.125690996,0.96685505,-0.129999834,0.896566558,0.999673974
PGM1,3.476093259,0.821836641,0.453710065,1.811369647,0.070083651,0.999673974
JAK1,51.18771513,0.072969014,0.171053684,0.426585454,0.669681294,0.999673974
LEPROT,3.203998666,0.132505238,0.461495628,0.287121328,0.774019422,0.999673974
PDE4B,4.298112043,-0.384576382,0.456823945,-0.841848125,0.39987297,0.999673974
MIER1,10.20953752,-0.304818303,0.28275633,-1.078024684,0.281022741,0.999673974
SLC35D1,0.847213776,-1.684532853,0.980070828,-1.718786852,0.08565319,0.999673974
SERBP1,20.91288967,0.023079999,0.202356243,0.114056276,0.909193183,0.999673974
GADD45A,1.311971756,-0.323850173,0.672636304,-0.48146401,0.630186753,0.999673974
LRRC40,1.438739203,0.371426041,0.694574626,0.534753254,0.592820491,0.999673974
SRSF11,24.27525303,-0.261949779,0.181166763,-1.445904175,0.148204081,0.999673974
ANKRD13C,2.754034477,0.427975157,0.531306958,0.805513933,0.420523169,0.999673974
HHLA3,0.483507263,-0.89898531,1.321161406,-0.680450781,0.496219076,0.999673974
ZRANB2,14.19223344,-0.349317985,0.228528422,-1.528553785,0.1263751,0.999673974
LRRIQ3,0.525812594,-0.585268497,1.284230755,-0.455734684,0.648580778,0.999673974
FPGT,1.008448042,0.650039964,0.866300629,0.750363029,0.453036091,0.999673974
CRYZ,3.34947317,-0.311113628,0.490163994,-0.634713345,0.525615388,0.999673974
TYW3,3.343568283,-0.806928296,0.469917647,-1.717169596,0.085948189,0.999673974
ACADM,4.444963898,-0.335390755,0.397954111,-0.842787511,0.399347294,0.999673974
